,Region,P0,Kc,tau_f,tau_d,tau_rec,tau_Ca,calcium_influx,calcium_channel_open_prob,total_P,total_Ca,Condition
0,DL,0.2,1.5274274375627842e-07,0.1,1.0,1.5466377778218232,0.4655752240032718,0.0009060577225060232,0.25488593264331605,0.08582532390067985,3.968788719969878e-07,10uM QP
1,DL,0.2,4.5371146378706647e-07,0.1,1.0,1.5087662741323513,0.25654842935377997,0.0008674090174143539,0.650529837298272,0.12779121598093132,1.0874876314743203e-06,10uM QP
2,DL,0.2,9.604853569045069e-07,0.1,1.0,0.871716403746836,0.1678574318120834,0.0006674075477336601,0.292198448385031,0.029361224024776467,4.3157204995798507e-07,10uM QP
3,DL,0.2,6.243167562997281e-06,0.1,1.0,0.514386444380214,0.09010799242138204,0.0009566187830960235,0.5594867683174313,0.00844032298343035,1.1194979600274035e-06,10uM QP
4,DL,0.2,3.746245385160343e-06,0.1,1.0,0.5768563360195738,0.237466956835509,0.0007166501503576024,0.6403485993492617,0.005064431065558795,9.072281912255889e-07,10uM QP
5,DL,0.2,1.5628532417820475e-06,0.1,1.0,1.5833720580239385,0.3133502259068884,0.0006624665233339663,0.6254241804897672,0.04752716203321349,7.733349390649563e-07,10uM QP
6,DL,0.2,3.965776785262278e-06,0.1,1.0,0.02212258630159336,0.19828663740829347,0.000700673948398905,0.5256393890414923,0.005762677231383926,7.580559542219629e-07,10uM QP
7,DL,0.2,8.129874821217532e-07,0.1,1.0,0.717871232328374,0.29617746531057526,0.00039528849383604404,0.534373635043349,0.03946204466314705,4.2477303856565106e-07,10uM QP
8,DL,0.2,2.2125664163575406e-06,0.1,1.0,0.3808832684122989,0.1897101431737306,0.0007806588992974069,0.23974246177738512,0.003540160518714478,4.1174931338693403e-07,10uM QP
9,DL,0.2,1.5274274375627842e-07,0.1,1.0,1.5466377778218232,0.4655752240032718,0.0009060577225060232,0.04731481550861064,0.05887448051087487,1.143508690590181e-07,Quinpirole
10,DL,0.2,4.5371146378706647e-07,0.1,1.0,1.5087662741323513,0.25654842935377997,0.0008674090174143539,0.11282122017827491,0.032759994304764235,2.2988988108210179e-07,Quinpirole
11,DL,0.2,9.604853569045069e-07,0.1,1.0,0.871716403746836,0.1678574318120834,0.0006674075477336601,0.21194754092197354,0.01865990835293027,3.2676137766897547e-07,Quinpirole
12,DL,0.2,6.243167562997281e-06,0.1,1.0,0.514386444380214,0.09010799242138204,0.0009566187830960235,0.4733946559938229,0.005566114620894345,9.549191919055392e-07,Quinpirole
13,DL,0.2,3.746245385160343e-06,0.1,1.0,0.5768563360195738,0.237466956835509,0.0007166501503576024,0.4194168289830439,0.0014107902296100943,6.114518146140191e-07,Quinpirole
14,DL,0.2,1.5628532417820475e-06,0.1,1.0,1.5833720580239385,0.3133502259068884,0.0006624665233339663,0.6566946657857082,0.03720799904228292,8.095033489313956e-07,Quinpirole
15,DL,0.2,3.965776785262278e-06,0.1,1.0,0.02212258630159336,0.19828663740829347,0.000700673948398905,0.3951391786865161,0.0012373911089292083,5.822548671913966e-07,Quinpirole
16,DL,0.2,8.129874821217532e-07,0.1,1.0,0.717871232328374,0.29617746531057526,0.00039528849383604404,0.5507272849581162,0.038658375853881904,4.362438978122801e-07,Quinpirole
17,DL,0.2,2.2125664163575406e-06,0.1,1.0,0.3808832684122989,0.1897101431737306,0.0007806588992974069,0.18981479963766557,0.001280778651981917,3.3640265286111244e-07,Quinpirole
