,Region,P0,Kc,tau_f,tau_d,tau_rec,tau_Ca,calcium_influx,calcium_channel_open_prob,total_P,total_Ca,Condition
0,DM,0.30212457695221256,5.981208097584943e-06,0.0997720322767725,1.4668216342231208,0.8683329541941842,0.37792334884713347,0.004305303888859026,0.22128567600972152,0.020746643125898686,4.166274739685641e-06,Control
1,DM,0.15923363310052155,5.689337773604742e-06,0.2593979223250167,0.5633881084844294,0.058521558655292856,0.45605367023525656,0.004906484879622856,0.5733399245130697,0.0333454751177786,4.390176518599815e-06,Control
2,DM,0.29170577596465724,8.25305145454496e-06,0.1335671884698972,0.1868602178613462,1.3068168764341133,0.3876345706621638,0.004723275871439288,0.2050586941301086,0.012416224578101303,4.522476383811613e-06,Control
3,DM,0.38412576995372977,3.2703069497949353e-06,0.07368384561638869,1.5139408383404664,0.6475103137416244,0.3272212110036111,0.002219777145364625,0.268369173354786,0.03160051840630195,2.280790088375022e-06,Control
4,DM,0.4468609307616008,6.4442574849331565e-06,0.04403459799296461,0.984938655298735,1.4008705655619371,0.10801104741148143,0.00030054903468095667,0.45486608498123554,0.0001198139278886155,3.996646990464498e-07,Control
5,DM,0.4519159599810524,7.992690324928743e-06,0.06194205417400811,1.4745891983442652,0.8109088677781071,0.4864969528757998,0.002455670666211177,0.10253808174369641,0.0011291674867791833,2.1580523771167877e-06,Control
6,DM,0.6242871472794566,1.5385925265566262e-06,0.8764206629459206,1.9496662589267344,0.8714516152329295,0.02263067016712375,0.0045693527319598595,0.5385308544883071,0.06456814610619185,5.3808615206152235e-06,Control
7,DM,0.29611784600797053,8.702567976922692e-06,0.17260079902323722,0.8971340294512561,0.3608677339511579,0.22348044197467426,0.0028678032930228494,0.35226560347739144,0.011568944156736202,3.2093808304528275e-06,Control
8,DM,0.17280776137119028,8.598464330398754e-06,0.08309795422455318,0.468290273606261,0.15473522299952394,0.3830258642021921,0.002593900812438414,0.3582298349366661,0.002400885976384889,2.5174396813705355e-06,Control
9,DM,0.28092523736530717,5.863709682834837e-06,0.07710704713027416,1.387939049910155,0.0062992640193340055,0.3286558668799164,0.0033506355730467128,0.2227641277403479,0.014689926397833387,3.4126111087508462e-06,Control
10,DM,0.1,,1.5,0.001,,0.02,0.001,0.1712856760097215,0.0009810413677370804,1.0499499999999782e-06,Quinpirole
11,DM,0.8272800955190552,,0.6200653614717492,2.2690740889063195,,0.3062837045576221,8.052321112150059e-05,0.08023803125259842,4.181784021362263e-08,1.207179781579846e-07,Quinpirole
12,DM,0.1,,0.07131883511031384,0.001,,0.02,0.001,0.1550586941301086,0.0006930264157235526,1.0499499999999782e-06,Quinpirole
13,DM,0.4199628732203525,,0.08431070922766104,0.898007409356802,,0.14311822380127842,0.0007408084862382524,0.1911955735439818,0.0042641848655531715,7.824784288282466e-07,Quinpirole
14,DM,0.4124202438745888,,0.03671365975075117,2.348896763931239,,0.1159486079536192,0.0009540213762623606,0.34967183096338483,0.0029293786269819493,1.0002062806524492e-06,Quinpirole
15,DM,0.4255542606114834,,0.002545523312969311,2.1650777177939875,,0.0973416795031328,0.0008978794331128892,0.03983900937382215,0.0001837600420950225,9.465822059059442e-07,Quinpirole
16,DM,0.1657238619457568,,0.09700168082889189,0.1533399081109469,,0.10171411129502198,0.0008283111350960177,0.48040410010055506,0.017400188498311573,8.767397543349589e-07,Quinpirole
17,DM,0.29071658436203723,,0.04929093970656262,0.6215735179019527,,0.05216974108835001,0.0008753504663449543,0.16387513805561668,0.0009896841606372028,9.252958884959996e-07,Quinpirole
18,DM,0.1742004772859567,,0.026306394908214792,0.1552709531971085,,0.08335608405828085,0.0009002463771440404,0.22139362150979922,0.0004315916384697604,9.497750316888562e-07,Quinpirole
19,DM,0.49326079929061467,,0.05684376722458645,2.117781890158127,,0.0965268585808733,0.0007760219604713815,0.08441184644146249,0.0007976438110399197,8.249515094793162e-07,Quinpirole
