,Region,P0,Kc,tau_f,tau_d,tau_rec,tau_Ca,calcium_influx,calcium_channel_open_prob,total_P,total_Ca,Condition
0,VM,0.4678480783182463,7.374915428083048e-06,0.1409292083423417,0.8244403127867234,1.1849325696494573,0.08166452917765578,0.0009154407084132483,0.33955093462665403,0.0025468999267225937,6.713786908453519e-07,10uM QP
1,VM,0.4697598808068774,1.6568631442628257e-06,0.22344312748238773,0.5961635793204884,1.232136243050518,0.16958704873313454,0.0006766604780409744,0.2117014996513153,0.009499997905784935,3.3002882001299153e-07,10uM QP
2,VM,0.2705399559650757,2.33871881325375e-06,0.19580638634189584,1.11115495829689,1.6465922107669135,0.07467298102163675,0.0004896483937556399,0.31836699173215677,0.00802993374245754,3.6166511677677405e-07,10uM QP
3,VM,0.11597081279603214,1.1329144271747561e-06,0.6106560092647346,0.3965051958347955,0.10829246498107414,0.4282429549060913,0.0009108183305630232,0.5926740709751865,0.0425876408199299,8.914700594518457e-07,10uM QP
4,VM,0.2016336911050351,1.070964629652516e-06,0.1311253732091353,0.4599444745502529,0.5835695926120549,0.10292633822625652,0.00046583468630077845,0.290160507513623,0.019287475997071802,3.1974937292543457e-07,10uM QP
5,VM,0.41894858667583823,6.832912850112819e-07,0.2504156978388567,0.6451944574964887,1.8890873519065157,0.14064720120157193,9.469806310146968e-05,0.6776148403952991,0.01773116036493471,1.769610853077999e-07,10uM QP
6,VM,0.10649534549329212,1.2836155259394317e-06,0.44219402961313053,0.7917945773897394,0.6421644770002818,0.1386924156267852,0.00041945533335668427,0.24849484359495624,0.002582540675976191,2.5639342644947186e-07,10uM QP
7,VM,0.21011144135296955,6.492491993241959e-07,0.7992327210517212,1.3240946275454135,0.01797593205464454,0.49464291544614425,0.0006535100340190505,0.37887393054587676,0.053346886741928876,4.1143669370608487e-07,10uM QP
8,VM,0.3566280329582038,1.1248246005778375e-06,0.22446306802279115,0.568931688069216,1.5841978521931126,0.17560306048073618,0.0006710918606804257,0.2629322181830625,0.035695685934012275,3.9385383143787153e-07,10uM QP
9,VM,0.36065203830432124,9.573210627392875e-07,0.17107977622701642,0.8293058984354995,0.6240998200982748,0.09851849238957869,0.00046984539157232945,0.1842386306657501,0.01876984628056297,2.2281745138279653e-07,10uM QP
10,VM,0.4678480783182463,7.374915428083048e-06,0.1409292083423417,0.8244403127867234,1.1849325696494573,0.08166452917765578,0.0009154407084132483,0.35652756906027766,0.0030391643057387507,7.024484557471821e-07,Quinpirole
11,VM,0.4697598808068774,1.6568631442628257e-06,0.22344312748238773,0.5961635793204884,1.232136243050518,0.16958704873313454,0.0006766604780409744,0.22228523832462124,0.011099287941226079,3.4403099309078117e-07,Quinpirole
12,VM,0.2705399559650757,2.33871881325375e-06,0.19580638634189584,1.11115495829689,1.6465922107669135,0.07467298102163675,0.0004896483937556399,0.2699677415293284,0.005048599475468268,3.1427710759027033e-07,Quinpirole
13,VM,0.11597081279603214,1.1329144271747561e-06,0.6106560092647346,0.3965051958347955,0.10829246498107414,0.4282429549060913,0.0009108183305630232,0.3663843215188443,0.01862659684255668,5.701680610321834e-07,Quinpirole
14,VM,0.2016336911050351,1.070964629652516e-06,0.1311253732091353,0.4599444745502529,0.5835695926120549,0.10292633822625652,0.00046583468630077845,0.1620089884485628,0.005157359232914995,2.0059049848222023e-07,Quinpirole
15,VM,0.41894858667583823,6.832912850112819e-07,0.2504156978388567,0.6451944574964887,1.8890873519065157,0.14064720120157193,9.469806310146968e-05,0.6529156579648902,0.016096447627920483,1.7233150847493203e-07,Quinpirole
16,VM,0.10649534549329212,1.2836155259394317e-06,0.44219402961313053,0.7917945773897394,0.6421644770002818,0.1386924156267852,0.00041945533335668427,0.2609195857747041,0.00298749429110177,2.6671559777194545e-07,Quinpirole
17,VM,0.21011144135296955,6.492491993241959e-07,0.7992327210517212,1.3240946275454135,0.01797593205464454,0.49464291544614425,0.0006535100340190505,0.31128819707176075,0.036204388514755964,3.4695259658159136e-07,Quinpirole
18,VM,0.3566280329582038,1.1248246005778375e-06,0.22446306802279115,0.568931688069216,1.5841978521931126,0.17560306048073618,0.0006710918606804257,0.19083547075192997,0.01669478232361038,2.99554441857123e-07,Quinpirole
19,VM,0.36065203830432124,9.573210627392875e-07,0.17107977622701642,0.8293058984354995,0.6240998200982748,0.09851849238957869,0.00046984539157232945,0.13394327237980613,0.008255845012405763,1.7562631469306847e-07,Quinpirole
