,Region,P0,Kc,tau_f,tau_d,tau_rec,tau_Ca,calcium_influx,calcium_channel_open_prob,total_P,total_Ca,Condition
0,VM,0.7965388689736232,3.6345167555212433e-06,0.7194101302482527,0.21784208899656132,0.2639827699761012,0.4004830772591847,0.0005356802624502928,0.161778045914919,0.0003500432083925448,5.507389794127226e-07,Control
1,VM,0.6374443097925795,1.031184180406565e-06,0.04229037903523358,1.57970818530437,1.3966172286887693,0.16352783144724725,0.0009163197666047763,0.49289785330525626,0.1145511572803795,1.0981504791639813e-06,Control
2,VM,0.4549126152698308,4.744442251919419e-06,0.11270939698040217,0.17500680051765613,0.9847685902955221,0.08032754205028635,0.0005162474394239384,0.1505350058855217,0.0015384062098784354,6.520266654608193e-07,Control
3,VM,0.12720075136483766,3.5252511471749126e-06,0.34444673600298725,0.8107136498900553,1.6908592293396227,0.02593588433540316,0.0009305352982155571,0.4348171548657224,0.005138786269508403,1.1355745145527592e-06,Control
4,VM,0.184655465225764,9.67483543575469e-06,0.10146056826571108,0.03305919745681624,0.6660851386514974,0.05524281133120732,0.0007309101398565245,0.44537970652259784,0.0010603930893721479,9.026698184233121e-07,Control
5,VM,0.23608500136276125,2.0244322868420486e-06,0.1936554428956132,0.1695215931509454,1.3928905720162765,0.3572125733974472,0.0008605450550590216,0.4951765172378809,0.014734958687813514,8.897800995702069e-07,Control
6,VM,0.4650654691287355,2.8939727332115823e-06,0.195035961654751,1.3733817621063993,0.7609070431450143,0.23834564652426854,0.0009957713879512305,0.5883033691801902,0.03233586060163633,1.1342946876010126e-06,Control
7,VM,0.14489667389285535,9.55663367707009e-06,0.001639200523619655,1.409967132517594,1.2408685639185089,0.08256523186569459,0.0009322322031666122,0.5174345133199049,0.0011211070588342225,1.1370807512376552e-06,Control
8,VM,0.3363525715470508,6.571940173808154e-06,0.05651681453118235,0.29299895430394685,0.3126587412301166,0.44605483892135855,0.0008318730349196249,0.5724448272915612,0.00020339891272229188,7.931434835728356e-07,Control
9,VM,0.4130828742202114,5.5124202683273784e-06,0.13556282541187126,1.0812803839963296,0.8772063333456976,0.1588111705276133,0.0008849812625507136,0.34465903902353406,0.003676472888060143,1.0645049217526863e-06,Control
10,VM,0.8971721791684135,,1.4669242625979604,1.9204621919905565,,0.294275022201388,2.6326324001776165e-05,0.08917423718554214,2.0889934932259248e-08,7.334894488296281e-08,Quinpirole
11,VM,0.343395034634756,,0.07345124109929235,1.1840717546869897,,0.09151747204263294,0.0005732326399039317,0.31116598658710004,0.02347476530142608,6.226558188350722e-07,Quinpirole
12,VM,0.1,,1.5,0.001,,0.02,0.001,0.10053500588552171,0.0006674125846065227,1.0499499999999782e-06,Quinpirole
13,VM,0.36004800418838023,,0.02296868025912946,0.5778220838279988,,0.06524981278659316,0.0005168335229135746,0.256408737222242,0.0038723213522509066,5.667536511574319e-07,Quinpirole
14,VM,0.1,,0.10775628360542559,0.001,,0.02,0.001,0.39537970652259785,0.0015240999853802111,1.0499499999999782e-06,Quinpirole
15,VM,0.4986270099301451,,0.10074818919955075,1.162570146347172,,0.29832136008065924,0.0009286025907569947,0.3992287295252064,0.025683065035826874,8.721883067212405e-07,Quinpirole
16,VM,0.18200559024692942,,0.040350742822981976,1.8457292432924148,,0.12578477472962002,0.0006806696922594004,0.5374971806118234,0.006563968505893638,7.2649711962571e-07,Quinpirole
17,VM,0.12064521456634734,,0.0650722944782392,0.7915494965955974,,0.11206436901106226,0.001,0.4210412943146929,0.00032530591494988237,1.0466851522366212e-06,Quinpirole
18,VM,0.41999110961878316,,0.08183493495523489,0.10981567014706697,,0.13027109717868254,0.001,0.3238745704577996,0.002486175409637575,1.0427417165787218e-06,Quinpirole
19,VM,0.41594216264869077,,0.05078507620303833,0.9620512828710582,,0.056808228540968085,0.00044142223208127105,0.13931622211556025,0.0005326789264051121,4.91366096944779e-07,Quinpirole
