,Region,P0,Kc,tau_f,tau_d,tau_rec,tau_Ca,calcium_influx,calcium_channel_open_prob,total_P,total_Ca,Condition
0,DM,0.1851505458211669,1.3842219907276133e-06,0.0012488519925375474,0.9397391992818798,1.548369807159114,0.2953158137142854,0.0009143345832792224,0.4496581454247011,0.04044829523559339,7.800851494949009e-07,10uM QP
1,DM,0.13738664888099875,3.1026331112454745e-06,0.10737303387637198,0.47771475410207076,1.0028281529555367,0.3831700494222462,0.0006099469502594228,0.6046085566518766,0.0014285032298721816,6.51247268530591e-07,10uM QP
2,DM,0.3466979796684551,1.4074853539307247e-06,0.19262102928384617,0.7518192675290981,0.7669347673667982,0.4174232570798023,0.0006702454933729965,0.3962219305559273,0.0168909869008081,4.684253853834963e-07,10uM QP
3,DM,0.28649055715637756,1.8912026360248668e-06,0.24114221142560346,1.4890855300363,1.2352746930395107,0.3418053331192673,0.0006800844542848065,0.5467929617169366,0.02129699207572463,6.815817034556359e-07,10uM QP
4,DM,0.4772069268259602,2.6424715954794877e-06,0.1534504735808196,1.0747826859224445,1.3900751225260906,0.1988280184912267,0.0007951467315491339,0.5325959365898685,0.041248560262824085,8.638763391088267e-07,10uM QP
5,DM,0.4680540862037364,5.978844612001383e-07,0.19539110555256067,1.109828473442238,0.1683747953158756,0.2387724238450067,0.00033297750765691914,0.22783745561462163,0.023213328025871307,1.9152330378406582e-07,10uM QP
6,DM,0.3150101717295643,5.021983410865719e-06,0.14324871557626656,1.9429908027222782,1.4448076947665254,0.1386422843536303,0.0008528963018231636,0.40392269209960757,0.0036751447728359766,7.32287899138775e-07,10uM QP
7,DM,0.11350071382271884,1.151771850567124e-06,0.2931131031798343,0.3053334657231499,0.9511498486407457,0.4811484003883991,0.0004258425705303623,0.6795834758562516,0.010404707516742474,4.780785138224299e-07,10uM QP
8,DM,0.3684889250831063,8.204270860720012e-07,0.12723844661388028,1.2395920811107326,0.7722972523460434,0.1362925953059267,0.000112409120894215,0.431917521037311,0.0039385483165295535,1.461844153578579e-07,10uM QP
9,DM,0.20320102228028059,8.649765486936203e-07,0.0811996931169352,0.49750465466536253,1.631634987750767,0.4210782902156328,0.0007751022863554772,0.4778676092851598,0.06653804582607538,6.314936387381619e-07,10uM QP
10,DM,0.1851505458211669,1.3842219907276133e-06,0.0012488519925375474,0.9397391992818798,1.548369807159114,0.2953158137142854,0.0009143345832792224,0.40609699494506624,0.03396406245156433,7.093524663638575e-07,Quinpirole
11,DM,0.13738664888099875,3.1026331112454745e-06,0.10737303387637198,0.47771475410207076,1.0028281529555367,0.3831700494222462,0.0006099469502594228,0.6348389446207306,0.0017077072928101148,6.813120923117044e-07,Quinpirole
12,DM,0.3466979796684551,1.4074853539307247e-06,0.19262102928384617,0.7518192675290981,0.7669347673667982,0.4174232570798023,0.0006702454933729965,0.41603101786795843,0.01963143692760995,4.893470325910769e-07,Quinpirole
13,DM,0.28649055715637756,1.8912026360248668e-06,0.24114221142560346,1.4890855300363,1.2352746930395107,0.3418053331192673,0.0006800844542848065,0.5741326098027835,0.02432513565641778,7.131632886284163e-07,Quinpirole
14,DM,0.4772069268259602,2.6424715954794877e-06,0.1534504735808196,1.0747826859224445,1.3900751225260906,0.1988280184912267,0.0007951467315491339,0.44736564164905335,0.02666313677623548,7.336252853991107e-07,Quinpirole
15,DM,0.4680540862037364,5.978844612001383e-07,0.19539110555256067,1.109828473442238,0.1683747953158756,0.2387724238450067,0.00033297750765691914,0.23922834864210832,0.02640224105082495,1.986013601756361e-07,Quinpirole
16,DM,0.3150101717295643,5.021983410865719e-06,0.14324871557626656,1.9429908027222782,1.4448076947665254,0.1386422843536303,0.0008528963018231636,0.42411522822561526,0.004352490105610159,7.663987152627328e-07,Quinpirole
17,DM,0.11350071382271884,1.151771850567124e-06,0.2931131031798343,0.3053334657231499,0.9511498486407457,0.4811484003883991,0.0004258425705303623,0.7135573916591051,0.011880797508181962,4.994816270500984e-07,Quinpirole
18,DM,0.3684889250831063,8.204270860720012e-07,0.12723844661388028,1.2395920811107326,0.7722972523460434,0.1362925953059267,0.000112409120894215,0.45351289470573836,0.0045971231960768135,1.5099602419100833e-07,Quinpirole
19,DM,0.20320102228028059,8.649765486936203e-07,0.0811996931169352,0.49750465466536253,1.631634987750767,0.4210782902156328,0.0007751022863554772,0.42566825725050833,0.055937580608675264,5.679693476329013e-07,Quinpirole
